item name,item number,price,stock
Hafele 504.20.900 Appliance Lift,HAF_50420900,367.93,114
Baldwin 5399003H New Mechanics Repair Kit H for Sectional &amp Escutcheon Handlesets with Lever Lifetime Brass Finish,BAL_5399003H,40.76,91
"Morris 15525 Aluminum Service Entrance Cap - Clamp on 2""",MOR_15525,13.4059,662
Hafele 833.72.382 Recess Mounted Housing Trim Ring for Loox LED 2025/2026,HAF_83372382,4.04,996
Hafele 792.12.060 Double Hook,HAF_79212060,20.528,1295
Arrow Lock R22-26D Lock Lock Parts,ARR_R2226D,15.56,1089
"Morris 20285 Ultraviolet Black Nylon Cable Ties 175LB 24""",MOR_20285,0.8551,15200
"Morris 20276 Ultraviolet Black Nylon Cable Ties 120LB 15""",MOR_20276,0.4693,154900
Morris 36512 Weatherproof Two Gang Box Extensions Rings Gray,MOR_36512,14.2768,7
"Morris 60291 Clear Packaging Tape 1.88"" x 109 Yds",MOR_60291,4.0303,4903
"Morris 36210 Weatherproof Boxes - Two Gang 30.5 Cubic Inch Capacity - 3 Outlet Holes 1/2"" Gray",MOR_36210,13.0985,304
Hafele 833.95.786 6-Way Distributor,HAF_83395786,9.95,4197
Hafele 833.89.067 Extension lead,HAF_83389067,6.96,327
LCN 4040XP-18TJ US10 Door Closer Mounting Plates,LCN_4040XP18TJUS10,253.26,10
Morris 19463 BX 1 Hole Pipe Straps 14/2 Thru 10/3 BX,MOR_19463,0.122,270136
"Morris 21826 Non-Metallic Liquid Tight Connectors - 90&deg 1-1/4""",MOR_21826,10.776,2741
"Morris 14661 Steel Reducing Bushings 3/4"" x 1/2""",MOR_14661,0.5636,6441
LCN 4040XP-18G US26 Door Closer Mounting Plates,LCN_4040XP18GUS26,253.26,3
"Morris 36614 4"" Round Weatherproof Boxes - Five Holes 1/2"" Bronze",MOR_36614,11.3395,615
"Smedbo FK492EP Shaving/Make-up Mirror, Chrome",SME_FK492EP,685.30,11
"HES 310-6-8(P)-F-12D-612 Electric Strike, Complete Pack for only active leaf, Fail Safe, 12V, Satin Bronze",HES_31068PF12D612,998.05,15176151
Morris 01184 Vinyl Insulated Butt Splices 25 Pack - 16-14 Wire,MOR_01184,0.1939,3725
LCN 4010-18 US4 Door Closer Mounting Plates,LCN_401018US4,253.26,2
LCN 4040XP-30 US4 Door Closer Parts,LCN_4040XP30US4,99.79,4
"Morris 01324 Vinyl Insulated Female Disconnects 25 Pack - 16-14 Wire, .250x.032 Tab",MOR_01324,0.1741,25325
Hafele 010.71.943 Zip-R Screw,HAF_01071943,0.0192,752000
"Baldwin 5002031 1-3/4"" Passage Rose Unlacquered Brass Finish",BAL_5002031,51.87,66
Kwikset 730TNL-514 Tustin Privacy Door Lock with RCAL Latch and RCS Strike Iron Black Finish,KWI_730TNL514,38.61,603
Baldwin 0465190 Edge Pull Satin Black Finish,BAL_0465190,13.58,29
Kwikset 720TNL-514 Tustin Passage Door Lock with RCAL Latch and RCS Strike Iron Black Finish,KWI_720TNL514,36.72,692
Best 8KL5SL626 Best Lock Parts,BES_8KL5SL626,111.89,16
Hafele 792.12.060 Double Hook,HAF_79212060,20.528,1295
"Morris 15525 Aluminum Service Entrance Cap - Clamp on 2""",MOR_15525,13.4059,662
Hafele 504.20.900 Appliance Lift,HAF_50420900,367.93,114
Hafele 833.72.382 Recess Mounted Housing Trim Ring for Loox LED 2025/2026,HAF_83372382,4.04,996
Baldwin 5399003M New Mechanics Repair Kit M for Emergency Egress Handlesets with Knobs Lifetime Brass Finish,BAL_5399003M,40.76,5
"NGP 229NSS Automatic Door Bottom 36""",NGP_229NSS36,108.23,15176151
Sargent 185P26D Manufacturing Lock Parts,SAR_185P26D,100.18,155
Weiser Lock GLA12TC15RH Dummy Lever Toluca Grade2,WEI_GLA12TC15RH,16.88,11
Schlage 12-626 626 Lock Lock Parts,SCH_12626626,21.96,33
Securitron MCL-24 Maglock,STR_MCL24,164.74,15176290
Securitron M32SS Maglock,STR_M32SS,331.18,15176178
"Morris 14341 Malleable Rigid Set Screw Box Connector 3/4""",MOR_14341,3.518,19
"Morris 15244 Liquid Tight Connectors - Straight - Zinc Die Cast 1-1/4""",MOR_15244,7.9582,157
Don-Jo DSP-135-605 Filler Plates,DON_DSP135605,3.88,39
"Smedbo HS347 Glass Bathroom Shelf, Brushed Chrome",SME_HS347,127.40,5
"Deltana EP6125U19 Edge Pull HD, 6-1/4"" x 1-1/4"", Paint Black",DEL_EP6125U19,32.25,15176201
LCN 4050A-62A AL 4050-62A AL Door Closer Parts,LCN_4050A62AAL,41.58,16777778
"Morris 14530 Conduit Bushings - Zinc Die Cast 1/2""",MOR_14530,0.3074,22790
Schlage 03-042 RHO 619 Lock Lock Parts,SCH_03042RHO619,89.40,27
Kwikset 300LRLSQT-514 Ladera Lever with Square Rose Privacy Door Lock with 6AL Latch and RCS Strike Iron Black Finish,KWI_300LRLSQT514,31.23,181
Securitron EEB2 Pushbutton,STR_EEB2,92.34,15176696
"IDH 12012-08A Wide Round Roller Ball Catch, Antique Copper",IDH_1201208A,10.50,15176151
Hafele 546.62.981 Repl Pantry Pull-out Top & Btm Run Silv,HAF_54662981,126.000,11
Hafele 546.62.983 Repl Pantry Pull-out Door Bracket Silv,HAF_54662983,36.608,3
Hafele 546.62.982 Repl Pantry Pull-out Door Bracket Cham,HAF_54662982,36.608,8
Hafele 546.62.984 Repl Pantry Pull-out Btm Run Sc Pl Lt Gr,HAF_54662984,16.80,9
Hafele 732.08.084 METAL FRAME FOR WALL SYSTEM,HAF_73208084,240.000,42
"Deltana EPT425U26 Edge Pulls-Thin, 4-1/4"" x 1"" x 3/8"", Polished Chrome",DEL_EPT425U26,19.92,15176184
Hafele 946.20.100 TOOL FOR TROLLEY ADJ,HAF_94620100,44.208,24
