item name,item number,price,stock
"Morris 15525 Aluminum Service Entrance Cap - Clamp on 2""",MOR_15525,13.4059,662
Hafele 504.20.900 Appliance Lift,HAF_50420900,367.93,114
Hafele 833.72.382 Recess Mounted Housing Trim Ring for Loox LED 2025/2026,HAF_83372382,4.04,996
Hafele 792.12.060 Double Hook,HAF_79212060,20.528,1295
"Smedbo BB084 Knob, Matt Black, Diameter 30 mm",SME_BB084,5.60,45
"Pemko 176D 36"" Product",PEM_176D36,69.21,15176151
"Smedbo BB080 Knob, Matt Black, Diameter 32 mm",SME_BB080,5.60,37
"ABH 1895 1/2"" Max. Projection & T-Strike, Satin Stainless Steel",ABH_1895US32D,20.25,15176155
"ABH 1890 5/16"" Max. Projection & Cast Strike, Satin Stainless Steel",ABH_1890US32D,18.75,15176155
"ABH RM11 Ball Catch, Bright Bronze",ABH_RM11US9,25.13,15176151
"ABH RM11 Ball Catch, Satin Brass",ABH_RM11US4,24.38,15176151
"ABH AC515 95"" Stainless Steel Full Mortise Continuous Hinge 14 Gauge, Satin Stainless Steel",ABH_AC515US32D95,622.69,15176151
"ABH RM11 Ball Catch, Satin Stainless Steel",ABH_RM11US32D,18.75,15176151
"ABH CME0340 Electrified, Heavy Duty Top Pivot Only, Center Hung, Oil Rubbed Bronze",ABH_CME0340US10B,435.75,15176151
"ABH CME0340 Electrified, Heavy Duty Top Pivot Only, Center Hung, Satin Bronze",ABH_CME0340US10,435.75,15176151
"ABH CME0345 Electrified, Heavy Duty Top Pivot Only, Center Hung, Satin Stainless Steel",ABH_CME0345US32D,586.43,15176151
"ABH CME0345 Electrified, Heavy Duty Top Pivot Only, Center Hung, Satin Brass",ABH_CME0345US4,636.83,15176151
"ABH CME0345 Electrified, Heavy Duty Top Pivot Only, Center Hung, Bright Bronze",ABH_CME0345US9,649.95,15176151
"ABH AB3301 24"" Pulls Straight Flat End Pull Handle 1-1/4"" Diameter Up to 24"" Double Price for BTB Mounting, Satin Brass",ABH_AB330124US4,168.94,15176151
"ABH AB3301 24"" Pulls Straight Flat End Pull Handle 1-1/4"" Diameter Up to 24"" Double Price for BTB Mounting, Bright Bronze",ABH_AB330124US9,274.76,15176151
"ABH AB3301 36"" Pulls Straight Flat End Pull Handle 1-1/4"" Diameter Up to 36"" Double Price for BTB Mounting, Painted Black",ABH_AB330136S4,220.58,15176151
"Smedbo BB084 Knob, Matt Black, Diameter 30 mm",SME_BB084,5.60,45
"ABH 1862P Automatic Flush Bolt, Wood Door Application, Pair Top and Bottom, Satin Stainless Steel",ABH_1862PUS32D,101.36,15176155
"ABH 0923US2G Reinforcing Pivot, Zinc Plated",ABH_0923US2G,47.78,15176168
"Pemko 176D 36"" Product",PEM_176D36,69.21,15176151
"ABH RM11 Ball Catch, Satin Brass",ABH_RM11US4,24.38,15176151
"ABH L0147B Bottom Pivot Only, RH, Bright Bronze",ABH_L0147BRHUS9,312.90,15176151
"Pemko EXT3/D48 Pemko EXT3/DA48 48"" x 3"" Sill Extender Dark Bronze Anodized Aluminum Finish",PEM_EXT3D48,33.52,15176151
"ABH 1890 5/16"" Max. Projection & Cast Strike, Satin Stainless Steel",ABH_1890US32D,18.75,15176155
"ABH RM11 Ball Catch, Bright Bronze",ABH_RM11US9,25.13,15176151
"ABH 1895 1/2"" Max. Projection & T-Strike, Satin Stainless Steel",ABH_1895US32D,20.25,15176155
"ABH CME0340 Electrified, Heavy Duty Top Pivot Only, Center Hung, Satin Bronze",ABH_CME0340US10,435.75,15176151
