item name,item number,price,stock
HES 8500606LBM 12VDC / 24VDC Electric Strike Body with Latchbolt Monitor Satin Brass Finish,HES_8500606LBM,558.28,15176151
HES 74275F12D629 75 12VDC Fail Safe Electric Strike Bright Stainless Steel Finish,HES_74275F12D629,701.44,15176151
Baldwin 5399112A New Mechanics Thick Door Kit A for Single Cylinder Handlesets Venetian Bronze Finish,BAL_5399112A,40.76,6
Baldwin 8363011P Dummy Handleset Conversion Kit Venetian Bronze Finish,BAL_8363011P,2.53,22
HES 7327512D630 75 12VDC Electric Strike Satin Stainless Steel Finish,HES_7327512D630,608.97,15176151
LCN 4040XP-30 US10 Door Closer Parts,LCN_4040XP30US10,99.79,4
Glynn-Johnson OHPART10325 Hold Open Conversion Kit for 90 Series,GLY_OHPART10325,35.88,10
Baldwin 8363015 Dummy Handleset Conversion Kit Satin Nickel Finish,BAL_8363015,2.53,19
HES 9600-613E-LBM Electric Strike,HES_9600613ELBM,527.45,15176151
Baldwin 5399050G New Mechanics Repair Kit G for Sectional &amp Escutcheon Handlesets with Knob Antique Brass Finish,BAL_5399050G,40.76,2
HES 7327524D630LBMLCM 75 24VDC Electric Strike with LBMLCM Latchbolt Monitor Satin Stainless Steel Finish,HES_7327524D630LBMLCM,734.32,15176151
Baldwin 8BR0706010 Entry Knob / Lever Thick Door Kit Satin Black Finish,BAL_8BR0706010,6.17,11
LCN 4030-62PA DKBRZ Door Closer Parts,LCN_403062PADKBRZ,16.63,1
LCN 4020-18 BLACK Door Closer Mounting Plates,LCN_402018BLACK,61.99,2
HES 7427524D630LBMLCM 75 24VDC Electric Strike with LBMLCM Latchbolt Monitor Satin Stainless Steel Finish,HES_7427524D630LBMLCM,756.24,15176151
HES 732F24D613 24VDC Fail Safe Electric Strike Oil Rubbed Bronze Finish,HES_732F24D613,620.61,15176151
HES 9600-613E-LBSM Electric Strike,HES_9600613ELBSM,537.73,15176151
LCN 4310ME3354 Door Closer Parts,LCN_4310ME3354,16.63,2
Norton 1688690 Door Controls Door Closer Mounting Plates,NOR_1688690,32.94,143
HES 7427524D629 75 24VDC Electric Strike Bright Stainless Steel Finish,HES_7427524D629,701.44,15176151
Baldwin 8BR0703007 Full Dummy Handleset Thick Door Kit Dark Bronze Finish,BAL_8BR0703007,1.23,1
HES 74275F12D629 75 12VDC Fail Safe Electric Strike Bright Stainless Steel Finish,HES_74275F12D629,701.44,15176151
LCN 3130-3038 Door Closer Parts,LCN_31303038,78.62,10
Baldwin 8BR0706007 Entry Knob / Lever Thick Door Kit Dark Bronze Finish,BAL_8BR0706007,6.17,6
HES 732F24D630LBMLCM 24VDC Fail Safe Electric Strike with LBMLCM Latchbolt Monitor Satin Stainless Steel Finish,HES_732F24D630LBMLCM,710.35,15176151
Schlage 40-054 Lock Tool,SCH_40054,993.60,3
Baldwin 5399112A New Mechanics Thick Door Kit A for Single Cylinder Handlesets Venetian Bronze Finish,BAL_5399112A,40.76,6
HES 74275F24D629LBMLCM 75 24VDC Fail Safe Electric Strike with LBMLCM Latchbolt Monitor Bright Stainless Steel Finish,HES_74275F24D629LBMLCM,824.74,15176151
HES 7427524D613LBMLCM 75 24VDC Electric Strike with LBMLCM Latchbolt Monitor Oil Rubbed Bronze Finish,HES_7427524D613LBMLCM,791.18,15176151
HES 9500-613E-LBSM Electric Strike,HES_9500613ELBSM,606.23,15176151
Baldwin 8BR0701010 Single Cylinder Handleset Thick Door Kit Satin Black Finish,BAL_8BR0701010,11.12,22
LCN 4040XP-30 US10 Door Closer Parts,LCN_4040XP30US10,99.79,4
HES 74275F24D613LBMLCM 75 24VDC Fail Safe Electric Strike with LBMLCM Latchbolt Monitor Oil Rubbed Bronze Finish,HES_74275F24D613LBMLCM,791.18,15176151
HES 7427512D612LBMLCM 75 12VDC Electric Strike with LBMLCM Latchbolt Monitor Satin Bronze Finish,HES_7427512D612LBMLCM,824.74,15176151
Baldwin 8BR0706010 Entry Knob / Lever Thick Door Kit Satin Black Finish,BAL_8BR0706010,6.17,11
HES 7327524D630LBMLCM 75 24VDC Electric Strike with LBMLCM Latchbolt Monitor Satin Stainless Steel Finish,HES_7327524D630LBMLCM,734.32,15176151
HES 9400612LBSM Electric Strike,HES_9400612LBSM,568.55,15176151
HES 7427524D630LBMLCM 75 24VDC Electric Strike with LBMLCM Latchbolt Monitor Satin Stainless Steel Finish,HES_7427524D630LBMLCM,756.24,15176151
LCN 4110-28 Door Closer Parts,LCN_411028,13.61,28
LCN 4840-459 Door Closer Parts,LCN_4840459,151.96,5
HES 732F24D629LBMLCM 24VDC Fail Safe Electric Strike with LBMLCM Latchbolt Monitor Bright Stainless Steel Finish,HES_732F24D629LBMLCM,779.53,15176151
Baldwin 8BR0703007 Full Dummy Handleset Thick Door Kit Dark Bronze Finish,BAL_8BR0703007,1.23,1
HES 1600CS612 Electric Strike,HES_1600CS612,713.77,15176151
LCN 3130-3038 Door Closer Parts,LCN_31303038,78.62,10
HES 73224D629 24VDC Electric Strike Bright Stainless Steel Finish,HES_73224D629,655.55,15176151
Yale 400SLD Door Closer Parts,YAL_400SLD,104.86,2
LCN 4040XP-79LR US26 Door Closer Parts,LCN_4040XP79LRUS26,110.38,1
LCN 4040XP-79LR US3 Door Closer Parts,LCN_4040XP79LRUS3,110.38,1
HES 732F24D630LBMLCM 24VDC Fail Safe Electric Strike with LBMLCM Latchbolt Monitor Satin Stainless Steel Finish,HES_732F24D630LBMLCM,710.35,15176151
Schlage 40-054 Lock Tool,SCH_40054,993.60,3
HES 9500-613E-LBSM Electric Strike,HES_9500613ELBSM,606.23,15176151
HES 732F12D613 12VDC Fail Safe Electric Strike Oil Rubbed Bronze Finish,HES_732F12D613,620.61,15176151
HES 7427512D606 75 12VDC Electric Strike Satin Brass Finish,HES_7427512D606,701.44,15176151
LCN 4110T169 Door Closer Parts,LCN_4110T169,21.92,7
HES 74275F24D613LBMLCM 75 24VDC Fail Safe Electric Strike with LBMLCM Latchbolt Monitor Oil Rubbed Bronze Finish,HES_74275F24D613LBMLCM,791.18,15176151
HES 7427512D612LBMLCM 75 12VDC Electric Strike with LBMLCM Latchbolt Monitor Satin Bronze Finish,HES_7427512D612LBMLCM,824.74,15176151
Baldwin 5399056H New Mechanics Repair Kit H for Sectional &amp Escutcheon Handlesets with Lever Lifetime Satin Nickel Finish,BAL_5399056H,40.76,2
HES 9400612LBSM Electric Strike,HES_9400612LBSM,568.55,15176151
LCN 4640-334-2 Door Closer Parts,LCN_46403342,43.85,8
LCN 4840-459 Door Closer Parts,LCN_4840459,151.96,5
LCN TB 1 3/4 AL Door Closer Parts,LCN_TB134AL,5.18,16777778
HES 7427512D630LBMLCM 75 12VDC Electric Strike with LBMLCM Latchbolt Monitor Satin Stainless Steel Finish,HES_7427512D630LBMLCM,756.24,15176151
HES 732F24D629LBMLCM 24VDC Fail Safe Electric Strike with LBMLCM Latchbolt Monitor Bright Stainless Steel Finish,HES_732F24D629LBMLCM,779.53,15176151
LCN 4050A-3077/62A DKBRZ 4050-3077/62A DKBRZ Door Closer Parts,LCN_4050A307762ADKBRZ,149.69,4
LCN 4040XP-79ELR US26 Door Closer Parts,LCN_4040XP79ELRUS26,190.51,1
HES 1600CS612 Electric Strike,HES_1600CS612,713.77,15176151
Yale 400SLD Door Closer Parts,YAL_400SLD,104.86,2
LCN 4040XP-79LR US26 Door Closer Parts,LCN_4040XP79LRUS26,110.38,1
LCN 4040XP-79LR US3 Door Closer Parts,LCN_4040XP79LRUS3,110.38,1
HES 74275F24D612 75 24VDC Fail Safe Electric Strike Satin Bronze Finish,HES_74275F24D612,701.44,15176151
Baldwin 5399033A New Mechanics Thick Door Kit A for Single Cylinder Handlesets Vintage Brass Finish,BAL_5399033A,40.76,2
HES 7427512D606 75 12VDC Electric Strike Satin Brass Finish,HES_7427512D606,701.44,15176151
"LCN 3592 Compressors, Control Boxes and Parts",LCN_3592,61.00,1
HES 732F12D613 12VDC Fail Safe Electric Strike Oil Rubbed Bronze Finish,HES_732F12D613,620.61,15176151
Rixson 0601 120VAC 689 Door Closer,RIX_0601120VAC689,816.48,4
Baldwin 5399056H New Mechanics Repair Kit H for Sectional &amp Escutcheon Handlesets with Lever Lifetime Satin Nickel Finish,BAL_5399056H,40.76,2
